Player Name,Player_Type,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches
Aasif Sheikh (NEP),Batter,4,71,17.75,107.57,,,,,
Hammad Mirza (OMA),Batter,4,71,17.75,105.97,,,,,
Saim Ayub (PAK),Allrounder,6,70,14,137.25,5,14.8,7.4,12,
GJ Delany (IRE),Batter,3,67,22.33,155.81,,,,,
TC Bruce (SCOT),Batter,4,65,16.25,120.37,,,,,
RP Burl (ZIM),Allrounder,6,63,12.6,121.15,2,23.5,7.83,18,
JJ Smit (NAM),Batter,4,62,15.5,116.98,,,,,
GJ Maxwell (AUS),Allrounder,4,62,20.66,110.71,2,21.5,7.16,18,
Wasim Ali (OMA),Batter,3,62,20.66,101.63,,,,,
Aamir Kaleem (OMA),Batter,4,61,15.25,145.23,,,,,
GR Adair (IRE),Batter,3,60,20,153.84,,,,,
Usman Khan (PAK),Keeper,7,60,15,130.43,,,,,6
Salman Agha (PAK),Batter,7,60,10,130.43,,,,,
DS Bajwa (CAN),Batter,4,60,15,103.44,,,,,
G Stewart (ITA),Allrounder,4,59,19.66,163.88,3,52.33,11.21,28,
HJ Manenti (ITA),Batter,4,57,19,123.91,,,,,7
Mohammad Nadeem (OMA),Batter,3,56,28,90.32,,,,,
MP Stoinis (AUS),Allrounder,4,55,18.33,141.02,4,19.75,8.94,13.25,
Lokesh Bam (NEP),Batter,4,55,27.5,137.5,,,,,
K Mishara (SL),Batter,4,54,13.5,122.72,,,,,
HT Tector (IRE),Batter,3,54,18,108,,,,,
B Evans (ZIM),Keeper,6,52,26,157.57,10,19.6,9.18,12.8,
MG Erasmus (NAM),Keeper,4,49,12.25,136.11,7,11.85,7.54,9.42,
JT Smuts (ITA),Keeper,4,46,15.33,109.52,3,37,7.4,30,
CE McConchie (NZ),Batter,4,45,45,128.57,,,,,
D Myers (ZIM),Batter,6,45,11.25,107.14,,,,,
MP O'Dowd (NED),Batter,4,45,11.25,102.27,,,,,
ZE Green (NAM),Batter,4,45,11.25,88.23,,,,,
Saad Bin Zafar (CAN),Keeper,4,44,14.66,107.31,4,29,8.92,19.5,
Shaheen Shah Afridi (PAK),Keeper,5,43,21.5,116.21,8,22.37,10.52,12.75,
ZB Lion-Cachet (NED),Batter,4,41,13.66,141.37,,,,,
Faheem Ashraf (PAK),Batter,5,40,20,148.14,,,,,
Gulsan Jha (NEP),Batter,4,39,13,105.4,,,,,
Aarif Sheikh (NEP),Batter,4,39,13,97.5,,,,,
V Shukla (OMA),Batter,4,38,9.5,118.75,,,,,
Sufyan Mehmood (OMA),Bowler,3,36,12,70.58,3,35.66,11.88,18,
T Munyonga (ZIM),Batter,5,35,11.66,116.66,,,,,
JC Archer (ENG),Allrounder,8,32,10.66,213.33,11,26,9.53,16.36,
J Overton (ENG),Allrounder,6,32,10.66,103.22,9,16.55,7.45,13.33,
S Movva (CAN),Allrounder,4,32,10.66,84.21,,,,,
JDS Neesham (NZ),Allrounder,7,31,31,140.9,6,30.16,10.64,17,
BRM Taylor (ZIM),Batter,1,31,-,103.33,,,,,
GF Linde (SA),Allrounder,3,30,-,142.85,3,26,7.8,20,
KIC Asalanka (SL),Batter,2,30,15,111.11,,,,,
Jatinder Singh (OMA),Batter,4,30,7.5,111.11,,,,,
MW Forde (WI),Bowler,6,29,29,145,6,20.5,6.25,19.66,
C Campher (IRE),Batter,3,29,9.66,145,,,,,
MA Leask (SCOT),Bowler,4,27,9,150,9,13.55,7.62,10.66,
MRJ Watt (SCOT),Allrounder,4,27,13.5,135,,,,,
Sompal Kami (NEP),Bowler,2,26,-,173.33,3,16,8,12,
C Madande (ZIM),Batter,1,26,-,130,,,,,
NRJ Croes (NED),Batter,1,25,-,208.33,,,,,
MR Kumar (UAE),Batter,2,25,12.5,131.57,,,,,
C Green (AUS),Allrounder,4,24,8,120,,,,,
RK Singh (IND),Batter,5,24,8,82.75,,,,,
MDKJ Perera (SL),Batter,2,23,11.5,135.29,,,,,
MH Cross (SCOT),Batter,4,23,7.66,104.54,,,,,
MR Adair (IRE),Bowler,3,22,11,183.33,3,37.66,10.27,22,
A Dutt (NED),Bowler,4,22,7.33,137.5,5,17.8,6.84,15.6,
JJ Bumrah (IND),Bowler,8,,,,14,12.42,6.21,12,
CV Varun (IND),Bowler,9,,,,14,20.5,9.25,13.28,
SC van Schalkwyk (USA),Bowler,4,,,,13,7.76,6.8,6.84,
B Muzarabani (ZIM),Bowler,6,,,,13,14.46,7.88,11,
AU Rashid (ENG),Bowler,8,,,,13,19.23,8.15,14.15,
L Ngidi (SA),Bowler,7,,,,12,15.58,7.19,13,
M Theekshana (SL),Bowler,7,,,,11,18.54,7.41,15,
C Bosch (SA),Bowler,7,,,,11,17.36,7.64,13.63,
AR Patel (IND),Allrounder,8,,,,11,18.63,8.2,13.63,
Usman Tariq (PAK),Bowler,6,,,,10,14.1,7.23,11.7,
LA Dawson (ENG),Bowler,8,,,,10,20.9,7.74,16.2,
G Motie (WI),Bowler,7,,,,10,17.3,7.86,13.2,
MJ Henry (NZ),Bowler,9,,,,10,23.5,8.24,17.1,
PVD Chameera (SL),Bowler,6,,,,10,20,9.52,12.6,
Arshdeep Singh (IND),Bowler,8,,,,9,28.22,8.46,20,
S Joseph (WI),Bowler,7,,,,9,25,9,16.66,7
A Zampa (AUS),Bowler,4,,,,8,14.5,7.56,11.5,
Harmeet Singh (USA),Bowler,4,,,,7,16.14,7.53,12.85,
CJPF Kalugamage (ITA),Bowler,4,,,,7,16.57,7.73,12.85,
Mohammad Nawaz (PAK),Bowler,7,,,,7,22.28,7.8,17.14,
AJ Hosein (WI),Bowler,6,,,,7,23.28,8.57,16.28,
Junaid Siddique (UAE),Bowler,4,,,,7,18.28,9.36,11.71,
LV van Beek (NED),Bowler,8,,,,7,20.42,9.53,12.85,
Rashid Khan (AFG),Bowler,4,,,,6,17.83,6.68,16,
Abrar Ahmed (PAK),Bowler,4,,,,6,19,7.6,15,
MADI Hemantha (SL),Bowler,5,,,,6,29.66,9.88,18,
LH Ferguson (NZ),Bowler,8,,,,6,33.5,9.96,20.16,
R Ngarava (ZIM),Bowler,3,,,,6,21,10.5,12,
Mohammad Nabi (AFG),Bowler,4,,,,5,9,6.42,8.4,
NT Ellis (AUS),Bowler,4,,,,5,18.4,7.16,15.4,
Mujeeb Ur Rahman (AFG),Bowler,4,,,,5,23,7.66,18,
D Madushanka (SL),Bowler,4,,,,5,22.4,8,16.8,
K Rabada (SA),Bowler,7,,,,5,43.4,8.13,32,
KA Maharaj (SA),Bowler,6,,,,5,35.8,8.52,25.2,
NK Yadav (NEP),Bowler,4,,,,5,19,8.63,13.2,
Mohammad Mohsin (USA),Bowler,4,,,,4,18,6,18,
Salman Mirza (PAK),Bowler,4,,,,4,15.25,6.77,13.5,
BJ Currie (SCOT),Bowler,4,,,,4,22.25,6.84,19.5,
Ali Hasan (ITA),Bowler,4,,,,4,29,8.28,21,
Shakeel Ahmed (OMA),Bowler,3,,,,4,22.25,8.9,15,
BJ McCarthy (IRE),Bowler,3,,,,4,27.25,12.11,13.5,
Jaskaran Singh (CAN),Bowler,4,,,,4,44.25,12.79,20.75,
JB Little (IRE),Bowler,1,,,,3,5.33,4,8,
PW Hasaranga (SL),Bowler,1,,,,3,8.33,6.25,8,
A Nortje (SA),Bowler,2,,,,3,19,7.12,16,
Mohammed Siraj (IND),Bowler,1,,,,3,9.66,7.25,8,
Muhammad Jawadullah (UAE),Bowler,3,,,,3,25,7.5,20,
MJ Humphreys (IRE),Bowler,3,,,,3,34.66,8.66,24,
AP Patel (CAN),Bowler,4,,,,3,34.66,8.66,24,
K Klein (NED),Bowler,3,,,,3,32,8.72,22,
O Davidson (SCOT),Bowler,4,,,,3,35,8.75,24,
Muhammad Arfan (UAE),Bowler,4,,,,3,38.33,8.84,26,
AG Cremer (ZIM),Bowler,4,,,,3,41.66,8.92,28,
JA Duffy (NZ),Bowler,4,,,,3,54.33,10.86,30,
PA van Meekeren (NED),Bowler,1,,,,2,10,5,12,
M Pathirana (SL),Bowler,3,,,,2,20,6.15,19.5,
KT Maphaka (SA),Bowler,2,,,,2,25.5,6.37,24,
WP Myburgh (NAM),Bowler,3,,,,2,30.5,7.62,24,
BM Scholtz (NAM),Bowler,4,,,,2,68,8.5,48,
